"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
0,0.070387,0.072981,0,0.189515,0.148679,0.195314,0.104929,0.23153,0.685517,0.206427,0.158896,0.171946,0.196671,0.128197,0.317459
1.11976,0,0,0,11.282862,0,0,0,8.92017,9.230996,0,0,2.441781,2.153708,0,6.156446
0,0.10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035958
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.909375,1.84149,2.614774,2.361448,2.196496,3.495603,2.511544,2.660977,1.615044,2.806898,2.1872,2.1351,2.555824,3.197364,2.490049,2.786744
1.352237,0.416824,1.395443,0.880671,1.190082,0.791574,0.988703,1.294605,1.769551,1.215693,1.092031,1.262409,1.308913,0.926298,1.828976,0.972442
0,0,0.193891,0.067402,0.026549,0,0.060384,0.099519,0.134736,0.090024,0.055847,0.112952,0.038397,0.068539,0.028747,0.100595
0,0,0,0,0,0,0.497323,3.552711,3.177699,4.107475,0,0,0,1.892214,0,3.13345
0.99359,0,0.271437,1.43645,0.351121,0,1.1024,0,2.369174,1.11369,0.703015,0.236117,0,0.217851,0.47,2.35632
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.87808,0,3.024805,1.228262,2.60956,0,3.88391,3.187677,3.186086,2.83388,2.948809,2.826405,1.343495,0.410426,1.351823,0.827269
7.539253,9.248555,21.494331,6.639869,17.953161,8.979748,9.324558,16.786786,15.116431,11.328451,11.427342,9.613283,14.380969,13.007599,19.357537,15.429395
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.484919,0,0,0.117642,0,0,0,0,0,0,0,0,0.263534,0
0,0,0,0,0.645784,0,0,0,0,0,0,0.409037,0,0,0,0
61.364217,38.223266,98.280389,42.443099,89.873818,31.985186,67.024633,89.097217,126.281476,80.410977,72.006064,101.794589,86.403228,80.257362,93.943175,70.239553
0,0,0,0,0.623022,0,0,0,0.67356,0,0,0.728847,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.026807,0.011685,0,0.0156,0,0,0.020108,0,0,0.016179,0
0.645142,0.291471,0,0,0,1.283098,1.419182,0,0,0.847224,0,0.709428,0,0.846816,0.974346,0.996611
0.588404,0.445115,1.474753,1.934216,0.508338,0.479153,0.652923,1.464624,0.536169,0.478418,0.505458,0.584124,0.614561,0.61339,0.527032,1.059671
9.41029,7.755948,9.325317,7.827961,10.316801,10.079113,9.275574,11.268938,8.039181,5.595423,6.53277,7.507332,11.217729,8.069598,9.914653,8.791568
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.098213,0,0,0,0,0,0,0,0
0,0,0,0.429751,0,0,0,0.377907,0,0,0.95989,0,0,0,0,0.640398
0.431827,0,0,0,0,0,0,0,1.248983,0,0,0,0,0,0,0
0,0,0,0.064587,0.03192,0.051229,0.042686,0.065054,0,0.398879,0,0,0,0,0.072122,0
0.415935,0.20158,0.420866,0.250956,0.525415,0.264054,0.425249,0.605564,0.489993,0.417795,0.445715,0.445553,0.306729,0.201327,0.393114,0.367303
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.481584,0.955672,0.932723,1.091665,0.399708,0.465105,1.182339,0.844104,0.79771,0.960367,0.506297,1.224271,0.681038,1.129765,0.665777,0.619561
0,0,0,0.249878,0,0,0,0,0,0.165248,0.180132,0,0.253798,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.103996,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.030681,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
